DateTime,Blocks Per Day,Height
11/8/2009,70,21108
12/8/2009,63,21171
13/8/2009,85,21256
14/8/2009,63,21319
15/8/2009,26,21345
16/8/2009,19,21364
17/8/2009,17,21381
18/8/2009,10,21391
19/8/2009,18,21409
20/8/2009,22,21431
21/8/2009,14,21445
22/8/2009,7,21452
23/8/2009,15,21467
24/8/2009,15,21482
25/8/2009,50,21532
26/8/2009,48,21580
27/8/2009,29,21609
28/8/2009,75,21684
29/8/2009,78,21762
30/8/2009,97,21859
31/8/2009,86,21945
1/9/2009,78,22023
2/9/2009,66,22089
3/9/2009,61,22150
4/9/2009,64,22214
5/9/2009,76,22290
6/9/2009,68,22358
7/9/2009,78,22436
8/9/2009,69,22505
9/9/2009,54,22559
10/9/2009,67,22626
11/9/2009,67,22693
12/9/2009,69,22762
13/9/2009,75,22837
14/9/2009,74,22911
15/9/2009,44,22955
16/9/2009,72,23027
17/9/2009,84,23111
18/9/2009,78,23189
19/9/2009,74,23263
20/9/2009,78,23341
21/9/2009,69,23410
22/9/2009,25,23435
23/9/2009,36,23471
24/9/2009,97,23568
25/9/2009,91,23659
26/9/2009,100,23759
27/9/2009,87,23846
28/9/2009,85,23931
29/9/2009,88,24019
30/9/2009,85,24104
1/10/2009,82,24186
2/10/2009,72,24258
3/10/2009,58,24316
4/10/2009,53,24369
5/10/2009,55,24424
6/10/2009,43,24467
7/10/2009,60,24527
8/10/2009,70,24597
9/10/2009,79,24676
10/10/2009,77,24753
11/10/2009,74,24827
12/10/2009,58,24885
13/10/2009,57,24942
14/10/2009,69,25011
15/10/2009,71,25082
16/10/2009,60,25142
17/10/2009,57,25199
18/10/2009,74,25273
19/10/2009,112,25385
20/10/2009,95,25480
21/10/2009,80,25560
22/10/2009,90,25650
23/10/2009,89,25739
24/10/2009,62,25801
25/10/2009,76,25877
26/10/2009,71,25948
27/10/2009,64,26012
28/10/2009,66,26078
29/10/2009,46,26124
30/10/2009,60,26184
31/10/2009,46,26230
1/11/2009,25,26255
2/11/2009,33,26288
3/11/2009,62,26350
4/11/2009,63,26413
5/11/2009,57,26470
6/11/2009,62,26532
7/11/2009,69,26601
8/11/2009,73,26674
9/11/2009,64,26738
10/11/2009,78,26816
11/11/2009,64,26880
12/11/2009,66,26946
13/11/2009,80,27026
14/11/2009,79,27105
15/11/2009,96,27201
16/11/2009,97,27298
17/11/2009,92,27390
18/11/2009,79,27469
19/11/2009,70,27539
20/11/2009,86,27625
21/11/2009,73,27698
22/11/2009,106,27804
23/11/2009,96,27900
24/11/2009,93,27993
25/11/2009,90,28083
26/11/2009,84,28167
27/11/2009,74,28241
28/11/2009,71,28312
29/11/2009,60,28372
30/11/2009,75,28447
1/12/2009,73,28520
2/12/2009,94,28614
3/12/2009,88,28702
4/12/2009,36,28738
5/12/2009,64,28802
6/12/2009,103,28905
7/12/2009,112,29017
8/12/2009,105,29122
9/12/2009,96,29218
10/12/2009,104,29322
11/12/2009,112,29434
12/12/2009,110,29544
13/12/2009,114,29658
14/12/2009,102,29760
15/12/2009,110,29870
16/12/2009,136,30006
17/12/2009,169,30175
18/12/2009,225,30400
19/12/2009,198,30598
20/12/2009,175,30773
21/12/2009,175,30948
22/12/2009,162,31110
23/12/2009,154,31264
24/12/2009,154,31418
25/12/2009,149,31567
26/12/2009,174,31741
27/12/2009,167,31908
28/12/2009,137,32045
29/12/2009,171,32216
30/12/2009,141,32357
31/12/2009,138,32495
1/1/2010,132,32627
2/1/2010,126,32753
3/1/2010,186,32939
4/1/2010,181,33120
5/1/2010,198,33318
6/1/2010,163,33481
7/1/2010,154,33635
8/1/2010,153,33788
9/1/2010,151,33939
10/1/2010,190,34129
11/1/2010,159,34288
12/1/2010,159,34447
13/1/2010,164,34611
14/1/2010,143,34754
15/1/2010,141,34895
16/1/2010,125,35020
17/1/2010,131,35151
18/1/2010,125,35276
19/1/2010,124,35400
20/1/2010,158,35558
21/1/2010,175,35733
22/1/2010,133,35866
23/1/2010,160,36026
24/1/2010,154,36180
25/1/2010,211,36391
26/1/2010,195,36586
27/1/2010,164,36750
28/1/2010,177,36927
29/1/2010,197,37124
30/1/2010,210,37334
31/1/2010,165,37499
1/2/2010,184,37683
2/2/2010,145,37828
3/2/2010,270,38098
4/2/2010,229,38327
5/2/2010,223,38550
6/2/2010,192,38742
7/2/2010,217,38959
8/2/2010,200,39159
9/2/2010,207,39366
10/2/2010,168,39534
11/2/2010,169,39703
12/2/2010,183,39886
13/2/2010,232,40118
14/2/2010,208,40326
15/2/2010,176,40502
16/2/2010,195,40697
17/2/2010,239,40936
18/2/2010,208,41144
19/2/2010,192,41336
20/2/2010,208,41544
21/2/2010,223,41767
22/2/2010,260,42027
23/2/2010,250,42277
24/2/2010,171,42448
25/2/2010,154,42602
26/2/2010,172,42774
27/2/2010,172,42946
28/2/2010,156,43102
1/3/2010,195,43297
2/3/2010,188,43485
3/3/2010,152,43637
4/3/2010,185,43822
5/3/2010,171,43993
6/3/2010,177,44170
7/3/2010,179,44349
8/3/2010,125,44474
9/3/2010,146,44620
10/3/2010,162,44782
11/3/2010,133,44915
12/3/2010,121,45036
13/3/2010,153,45189
14/3/2010,125,45314
15/3/2010,135,45449
16/3/2010,126,45575
17/3/2010,136,45711
18/3/2010,140,45851
19/3/2010,153,46004
20/3/2010,192,46196
21/3/2010,183,46379
22/3/2010,179,46558
23/3/2010,207,46765
24/3/2010,171,46936
25/3/2010,187,47123
26/3/2010,197,47320
27/3/2010,178,47498
28/3/2010,186,47684
29/3/2010,195,47879
30/3/2010,215,48094
31/3/2010,209,48303
1/4/2010,168,48471
2/4/2010,156,48627
3/4/2010,161,48788
4/4/2010,171,48959
5/4/2010,153,49112
6/4/2010,159,49271
7/4/2010,193,49464
8/4/2010,183,49647
9/4/2010,189,49836
10/4/2010,260,50096
11/4/2010,223,50319
12/4/2010,203,50522
13/4/2010,189,50711
14/4/2010,180,50891
15/4/2010,216,51107
16/4/2010,202,51309
17/4/2010,221,51530
18/4/2010,245,51775
19/4/2010,232,52007
20/4/2010,205,52212
21/4/2010,219,52431
22/4/2010,159,52590
23/4/2010,150,52740
24/4/2010,168,52908
25/4/2010,158,53066
26/4/2010,164,53230
27/4/2010,180,53410
28/4/2010,180,53590
29/4/2010,147,53737
30/4/2010,144,53881
1/5/2010,183,54064
2/5/2010,155,54219
3/5/2010,159,54378
4/5/2010,136,54514
5/5/2010,137,54651
6/5/2010,149,54800
7/5/2010,132,54932
8/5/2010,154,55086
9/5/2010,143,55229
10/5/2010,128,55357
11/5/2010,111,55468
12/5/2010,127,55595
13/5/2010,128,55723
14/5/2010,123,55846
15/5/2010,91,55937
16/5/2010,113,56050
17/5/2010,143,56193
18/5/2010,168,56361
19/5/2010,164,56525
20/5/2010,203,56728
21/5/2010,176,56904
22/5/2010,195,57099
23/5/2010,211,57310
24/5/2010,188,57498
25/5/2010,210,57708
26/5/2010,223,57931
27/5/2010,192,58123
28/5/2010,223,58346
29/5/2010,184,58530
30/5/2010,149,58679
31/5/2010,142,58821
1/6/2010,135,58956
2/6/2010,147,59103
3/6/2010,152,59255
4/6/2010,125,59380
5/6/2010,145,59525
6/6/2010,148,59673
7/6/2010,157,59830
8/6/2010,160,59990
9/6/2010,168,60158
10/6/2010,160,60318
11/6/2010,168,60486
12/6/2010,135,60621
13/6/2010,172,60793
14/6/2010,161,60954
15/6/2010,184,61138
16/6/2010,142,61280
17/6/2010,146,61426
18/6/2010,150,61576
19/6/2010,150,61726
20/6/2010,185,61911
21/6/2010,154,62065
22/6/2010,156,62221
23/6/2010,187,62408
24/6/2010,169,62577
25/6/2010,150,62727
26/6/2010,159,62886
27/6/2010,178,63064
28/6/2010,152,63216
29/6/2010,169,63385
30/6/2010,182,63567
1/7/2010,211,63778
2/7/2010,167,63945
3/7/2010,212,64157
4/7/2010,166,64323
5/7/2010,179,64502
6/7/2010,169,64671
7/7/2010,156,64827
8/7/2010,151,64978
9/7/2010,199,65177
10/7/2010,198,65375
11/7/2010,179,65554
12/7/2010,659,66213
13/7/2010,692,66905
14/7/2010,578,67483
15/7/2010,624,68107
16/7/2010,505,68612
17/7/2010,173,68785
18/7/2010,172,68957
19/7/2010,174,69131
20/7/2010,181,69312
21/7/2010,207,69519
22/7/2010,176,69695
23/7/2010,194,69889
24/7/2010,189,70078
25/7/2010,231,70309
26/7/2010,243,70552
27/7/2010,166,70718
28/7/2010,159,70877
29/7/2010,180,71057
30/7/2010,182,71239
31/7/2010,203,71442
1/8/2010,239,71681
2/8/2010,242,71923
3/8/2010,227,72150
4/8/2010,243,72393
5/8/2010,218,72611
6/8/2010,147,72758
7/8/2010,155,72913
8/8/2010,199,73112
9/8/2010,190,73302
10/8/2010,191,73493
11/8/2010,233,73726
12/8/2010,217,73943
13/8/2010,215,74158
14/8/2010,281,74439
15/8/2010,207,74646
16/8/2010,147,74793
17/8/2010,129,74922
18/8/2010,133,75055
19/8/2010,135,75190
20/8/2010,193,75383
21/8/2010,173,75556
22/8/2010,212,75768
23/8/2010,213,75981
24/8/2010,215,76196
25/8/2010,216,76412
26/8/2010,210,76622
27/8/2010,171,76793
28/8/2010,170,76963
29/8/2010,162,77125
30/8/2010,149,77274
31/8/2010,184,77458
1/9/2010,157,77615
2/9/2010,156,77771
3/9/2010,164,77935
4/9/2010,181,78116
5/9/2010,165,78281
6/9/2010,158,78439
7/9/2010,160,78599
8/9/2010,165,78764
9/9/2010,135,78899
10/9/2010,177,79076
11/9/2010,160,79236
12/9/2010,177,79413
13/9/2010,171,79584
14/9/2010,203,79787
15/9/2010,169,79956
16/9/2010,219,80175
17/9/2010,208,80383
18/9/2010,237,80620
19/9/2010,209,80829
20/9/2010,203,81032
21/9/2010,172,81204
22/9/2010,174,81378
23/9/2010,234,81612
24/9/2010,228,81840
25/9/2010,207,82047
26/9/2010,205,82252
27/9/2010,229,82481
28/9/2010,212,82693
29/9/2010,164,82857
30/9/2010,146,83003
1/10/2010,154,83157
2/10/2010,100,83257
3/10/2010,122,83379
4/10/2010,153,83532
5/10/2010,126,83658
6/10/2010,171,83829
7/10/2010,160,83989
8/10/2010,154,84143
9/10/2010,158,84301
10/10/2010,178,84479
11/10/2010,159,84638
12/10/2010,155,84793
13/10/2010,176,84969
14/10/2010,205,85174
15/10/2010,177,85351
16/10/2010,258,85609
17/10/2010,270,85879
18/10/2010,249,86128
19/10/2010,256,86384
20/10/2010,264,86648
21/10/2010,186,86834
22/10/2010,154,86988
23/10/2010,175,87163
24/10/2010,205,87368
25/10/2010,203,87571
26/10/2010,241,87812
27/10/2010,213,88025
28/10/2010,219,88244
29/10/2010,223,88467
30/10/2010,252,88719
31/10/2010,179,88898
1/11/2010,177,89075
2/11/2010,176,89251
3/11/2010,190,89441
4/11/2010,201,89642
5/11/2010,219,89861
6/11/2010,218,90079
7/11/2010,241,90320
8/11/2010,275,90595
9/11/2010,217,90812
10/11/2010,203,91015
11/11/2010,219,91234
12/11/2010,169,91403
13/11/2010,223,91626
14/11/2010,256,91882
15/11/2010,200,92082
16/11/2010,197,92279
17/11/2010,247,92526
18/11/2010,257,92783
19/11/2010,150,92933
20/11/2010,116,93049
21/11/2010,140,93189
22/11/2010,163,93352
23/11/2010,140,93492
24/11/2010,177,93669
25/11/2010,181,93850
26/11/2010,194,94044
27/11/2010,180,94224
28/11/2010,172,94396
29/11/2010,209,94605
30/11/2010,202,94807
1/12/2010,188,94995
2/12/2010,188,95183
3/12/2010,189,95372
4/12/2010,229,95601
5/12/2010,239,95840
6/12/2010,241,96081
7/12/2010,239,96320
8/12/2010,238,96558
9/12/2010,223,96781
10/12/2010,147,96928
11/12/2010,175,97103
12/12/2010,171,97274
13/12/2010,141,97415
14/12/2010,171,97586
15/12/2010,196,97782
16/12/2010,173,97955
17/12/2010,166,98121
18/12/2010,161,98282
19/12/2010,184,98466
20/12/2010,159,98625
21/12/2010,196,98821
22/12/2010,157,98978
23/12/2010,145,99123
24/12/2010,148,99271
25/12/2010,168,99439
26/12/2010,145,99584
27/12/2010,166,99750
28/12/2010,169,99919
29/12/2010,165,100084
30/12/2010,169,100253
31/12/2010,162,100415
1/1/2011,181,100596
2/1/2011,175,100771
3/1/2011,156,100927
4/1/2011,141,101068
5/1/2011,154,101222
6/1/2011,141,101363
7/1/2011,164,101527
8/1/2011,170,101697
9/1/2011,163,101860
10/1/2011,162,102022
11/1/2011,172,102194
12/1/2011,167,102361
13/1/2011,188,102549
14/1/2011,181,102730
15/1/2011,157,102887
16/1/2011,174,103061
17/1/2011,181,103242
18/1/2011,141,103383
19/1/2011,169,103552
20/1/2011,186,103738
21/1/2011,174,103912
22/1/2011,165,104077
23/1/2011,170,104247
24/1/2011,188,104435
25/1/2011,156,104591
26/1/2011,180,104771
27/1/2011,160,104931
28/1/2011,158,105089
29/1/2011,161,105250
30/1/2011,156,105406
31/1/2011,170,105576
1/2/2011,164,105740
2/2/2011,158,105898
3/2/2011,160,106058
4/2/2011,194,106252
5/2/2011,179,106431
6/2/2011,177,106608
7/2/2011,203,106811
8/2/2011,168,106979
9/2/2011,192,107171
10/2/2011,186,107357
11/2/2011,186,107543
12/2/2011,196,107739
13/2/2011,198,107937
14/2/2011,196,108133
15/2/2011,225,108358
16/2/2011,232,108590
17/2/2011,231,108821
18/2/2011,212,109033
19/2/2011,161,109194
20/2/2011,198,109392
21/2/2011,194,109586
22/2/2011,211,109797
23/2/2011,243,110040
24/2/2011,207,110247
25/2/2011,225,110472
26/2/2011,276,110748
27/2/2011,244,110992
28/2/2011,150,111142
1/3/2011,130,111272
2/3/2011,168,111440
3/3/2011,186,111626
4/3/2011,221,111847
5/3/2011,277,112124
6/3/2011,274,112398
7/3/2011,211,112609
8/3/2011,187,112796
9/3/2011,160,112956
10/3/2011,110,113066
11/3/2011,130,113196
12/3/2011,140,113336
13/3/2011,117,113453
14/3/2011,112,113565
15/3/2011,112,113677
16/3/2011,136,113813
17/3/2011,141,113954
18/3/2011,120,114074
19/3/2011,115,114189
20/3/2011,137,114326
21/3/2011,148,114474
22/3/2011,119,114593
23/3/2011,157,114750
24/3/2011,152,114902
25/3/2011,173,115075
26/3/2011,138,115213
27/3/2011,143,115356
28/3/2011,168,115524
29/3/2011,163,115687
30/3/2011,156,115843
31/3/2011,201,116044
1/4/2011,176,116220
2/4/2011,180,116400
3/4/2011,175,116575
4/4/2011,178,116753
5/4/2011,194,116947
6/4/2011,148,117095
7/4/2011,147,117242
8/4/2011,166,117408
9/4/2011,156,117564
10/4/2011,173,117737
11/4/2011,163,117900
12/4/2011,163,118063
13/4/2011,194,118257
14/4/2011,160,118417
15/4/2011,136,118553
16/4/2011,173,118726
17/4/2011,180,118906
18/4/2011,148,119054
19/4/2011,154,119208
20/4/2011,144,119352
21/4/2011,147,119499
22/4/2011,176,119675
23/4/2011,172,119847
24/4/2011,162,120009
25/4/2011,192,120201
26/4/2011,195,120396
27/4/2011,183,120579
28/4/2011,164,120743
29/4/2011,200,120943
30/4/2011,189,121132
1/5/2011,179,121311
2/5/2011,197,121508
3/5/2011,196,121704
4/5/2011,197,121901
5/5/2011,219,122120
6/5/2011,218,122338
7/5/2011,214,122552
8/5/2011,219,122771
9/5/2011,239,123010
10/5/2011,183,123193
11/5/2011,191,123384
12/5/2011,169,123553
13/5/2011,207,123760
14/5/2011,242,124002
15/5/2011,220,124222
16/5/2011,247,124469
17/5/2011,257,124726
18/5/2011,288,125014
19/5/2011,171,125185
20/5/2011,220,125405
21/5/2011,220,125625
22/5/2011,252,125877
23/5/2011,286,126163
24/5/2011,299,126462
25/5/2011,307,126769
26/5/2011,296,127065
27/5/2011,167,127232
28/5/2011,155,127387
29/5/2011,180,127567
30/5/2011,154,127721
31/5/2011,150,127871
1/6/2011,188,128059
2/6/2011,190,128249
3/6/2011,202,128451
4/6/2011,224,128675
5/6/2011,208,128883
6/6/2011,233,129116
7/6/2011,170,129286
8/6/2011,185,129471
9/6/2011,222,129693
10/6/2011,223,129916
11/6/2011,252,130168
12/6/2011,233,130401
13/6/2011,227,130628
14/6/2011,247,130875
15/6/2011,279,131154
16/6/2011,180,131334
17/6/2011,186,131520
18/6/2011,197,131717
19/6/2011,223,131940
20/6/2011,234,132174
21/6/2011,253,132427
22/6/2011,260,132687
23/6/2011,240,132927
24/6/2011,216,133143
25/6/2011,143,133286
26/6/2011,149,133435
27/6/2011,169,133604
28/6/2011,160,133764
29/6/2011,172,133936
30/6/2011,191,134127
1/7/2011,173,134300
2/7/2011,169,134469
3/7/2011,165,134634
4/7/2011,170,134804
5/7/2011,139,134943
6/7/2011,157,135100
7/7/2011,131,135231
8/7/2011,165,135396
9/7/2011,149,135545
10/7/2011,137,135682
11/7/2011,157,135839
12/7/2011,141,135980
13/7/2011,191,136171
14/7/2011,144,136315
15/7/2011,162,136477
16/7/2011,157,136634
17/7/2011,170,136804
18/7/2011,170,136974
19/7/2011,142,137116
20/7/2011,149,137265
21/7/2011,152,137417
22/7/2011,151,137568
23/7/2011,146,137714
24/7/2011,166,137880
25/7/2011,165,138045
26/7/2011,176,138221
27/7/2011,174,138395
28/7/2011,155,138550
29/7/2011,164,138714
30/7/2011,152,138866
31/7/2011,175,139041
1/8/2011,165,139206
2/8/2011,154,139360
3/8/2011,157,139517
4/8/2011,129,139646
5/8/2011,140,139786
6/8/2011,122,139908
7/8/2011,126,140034
8/8/2011,136,140170
9/8/2011,146,140316
10/8/2011,152,140468
11/8/2011,137,140605
12/8/2011,131,140736
13/8/2011,130,140866
14/8/2011,132,140998
15/8/2011,129,141127
16/8/2011,147,141274
17/8/2011,136,141410
18/8/2011,144,141554
19/8/2011,131,141685
20/8/2011,152,141837
21/8/2011,160,141997
22/8/2011,169,142166
23/8/2011,155,142321
24/8/2011,134,142455
25/8/2011,135,142590
26/8/2011,147,142737
27/8/2011,122,142859
28/8/2011,116,142975
29/8/2011,138,143113
30/8/2011,146,143259
31/8/2011,155,143414
1/9/2011,129,143543
2/9/2011,156,143699
3/9/2011,145,143844
4/9/2011,134,143978
5/9/2011,156,144134
6/9/2011,151,144285
7/9/2011,136,144421
8/9/2011,129,144550
9/9/2011,154,144704
10/9/2011,133,144837
11/9/2011,125,144962
12/9/2011,133,145095
13/9/2011,142,145237
14/9/2011,146,145383
15/9/2011,156,145539
16/9/2011,119,145658
17/9/2011,134,145792
18/9/2011,158,145950
19/9/2011,127,146077
20/9/2011,140,146217
21/9/2011,146,146363
22/9/2011,148,146511
23/9/2011,133,146644
24/9/2011,129,146773
25/9/2011,137,146910
26/9/2011,134,147044
27/9/2011,133,147177
28/9/2011,147,147324
29/9/2011,125,147449
30/9/2011,122,147571
1/10/2011,143,147714
2/10/2011,121,147835
3/10/2011,145,147980
4/10/2011,112,148092
5/10/2011,145,148237
6/10/2011,128,148365
7/10/2011,138,148503
8/10/2011,119,148622
9/10/2011,127,148749
10/10/2011,123,148872
11/10/2011,93,148965
12/10/2011,120,149085
13/10/2011,97,149182
14/10/2011,139,149321
15/10/2011,134,149455
16/10/2011,119,149574
17/10/2011,118,149692
18/10/2011,120,149812
19/10/2011,133,149945
20/10/2011,115,150060
21/10/2011,121,150181
22/10/2011,98,150279
23/10/2011,108,150387
24/10/2011,127,150514
25/10/2011,129,150643
26/10/2011,117,150760
27/10/2011,100,150860
28/10/2011,105,150965
29/10/2011,113,151078
30/10/2011,111,151189
31/10/2011,131,151320
1/11/2011,150,151470
2/11/2011,154,151624
3/11/2011,125,151749
4/11/2011,147,151896
5/11/2011,146,152042
6/11/2011,144,152186
7/11/2011,132,152318
8/11/2011,149,152467
9/11/2011,161,152628
10/11/2011,141,152769
11/11/2011,119,152888
12/11/2011,143,153031
13/11/2011,144,153175
14/11/2011,143,153318
15/11/2011,165,153483
16/11/2011,135,153618
17/11/2011,139,153757
18/11/2011,133,153890
19/11/2011,123,154013
20/11/2011,143,154156
21/11/2011,118,154274
22/11/2011,140,154414
23/11/2011,134,154548
24/11/2011,113,154661
25/11/2011,135,154796
26/11/2011,120,154916
27/11/2011,114,155030
28/11/2011,127,155157
29/11/2011,138,155295
30/11/2011,162,155457
1/12/2011,182,155639
2/12/2011,146,155785
3/12/2011,152,155937
4/12/2011,136,156073
5/12/2011,158,156231
6/12/2011,171,156402
7/12/2011,138,156540
8/12/2011,164,156704
9/12/2011,147,156851
10/12/2011,144,156995
11/12/2011,152,157147
12/12/2011,127,157274
13/12/2011,132,157406
14/12/2011,153,157559
15/12/2011,112,157671
16/12/2011,118,157789
17/12/2011,150,157939
18/12/2011,144,158083
19/12/2011,159,158242
20/12/2011,134,158376
21/12/2011,149,158525
22/12/2011,148,158673
23/12/2011,142,158815
24/12/2011,145,158960
25/12/2011,174,159134
26/12/2011,177,159311
27/12/2011,145,159456
28/12/2011,155,159611
29/12/2011,138,159749
30/12/2011,142,159891
31/12/2011,151,160042
1/1/2012,153,160195
2/1/2012,151,160346
3/1/2012,159,160505
4/1/2012,149,160654
5/1/2012,147,160801
6/1/2012,171,160972
7/1/2012,184,161156
8/1/2012,163,161319
9/1/2012,164,161483
10/1/2012,141,161624
11/1/2012,153,161777
12/1/2012,155,161932
13/1/2012,140,162072
14/1/2012,150,162222
15/1/2012,139,162361
16/1/2012,175,162536
17/1/2012,157,162693
18/1/2012,128,162821
19/1/2012,150,162971
20/1/2012,145,163116
21/1/2012,164,163280
22/1/2012,136,163416
23/1/2012,170,163586
24/1/2012,139,163725
25/1/2012,148,163873
26/1/2012,138,164011
27/1/2012,141,164152
28/1/2012,145,164297
29/1/2012,167,164464
30/1/2012,172,164636
31/1/2012,150,164786
1/2/2012,141,164927
2/2/2012,159,165086
3/2/2012,158,165244
4/2/2012,157,165401
5/2/2012,142,165543
6/2/2012,146,165689
7/2/2012,137,165826
8/2/2012,145,165971
9/2/2012,145,166116
10/2/2012,138,166254
11/2/2012,150,166404
12/2/2012,158,166562
13/2/2012,137,166699
14/2/2012,138,166837
15/2/2012,134,166971
16/2/2012,138,167109
17/2/2012,152,167261
18/2/2012,171,167432
19/2/2012,158,167590
20/2/2012,140,167730
21/2/2012,129,167859
22/2/2012,159,168018
23/2/2012,166,168184
24/2/2012,149,168333
25/2/2012,165,168498
26/2/2012,150,168648
27/2/2012,154,168802
28/2/2012,160,168962
29/2/2012,179,169141
1/3/2012,151,169292
2/3/2012,134,169426
3/3/2012,113,169539
4/3/2012,137,169676
5/3/2012,145,169821
6/3/2012,137,169958
7/3/2012,154,170112
8/3/2012,156,170268
9/3/2012,168,170436
10/3/2012,165,170601
11/3/2012,134,170735
12/3/2012,166,170901
13/3/2012,160,171061
14/3/2012,137,171198
15/3/2012,121,171319
16/3/2012,153,171472
17/3/2012,170,171642
18/3/2012,160,171802
19/3/2012,143,171945
20/3/2012,160,172105
21/3/2012,158,172263
22/3/2012,158,172421
23/3/2012,126,172547
24/3/2012,184,172731
25/3/2012,157,172888
26/3/2012,151,173039
27/3/2012,156,173195
28/3/2012,150,173345
29/3/2012,141,173486
30/3/2012,154,173640
31/3/2012,170,173810
1/4/2012,142,173952
2/4/2012,116,174068
3/4/2012,133,174201
4/4/2012,137,174338
5/4/2012,117,174455
6/4/2012,136,174591
7/4/2012,129,174720
8/4/2012,150,174870
9/4/2012,146,175016
10/4/2012,147,175163
11/4/2012,141,175304
